epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37387,0.73743,3.14381,1.31386,0.0035,1,0.34137,0.24708,0.43753,3.56302,1.04229,0.000384615,0.000384615,0.000384615
2,11.9094,0.56249,2.22953,1.13939,0.8108,0.1875,0.40235,0.32033,0.51368,3.16021,1.15366,0.000793349,0.000793349,0.000793349
3,16.7063,0.52311,1.87241,1.10555,0.38399,0.6,0.37738,0.29038,0.56066,3.62986,1.23534,0.00119383,0.00119383,0.00119383
4,20.7626,0.52998,1.75378,1.07754,0.40105,0.80838,0.54927,0.48246,0.52946,5.48482,1.19618,0.00121287,0.00121287,0.00121287
5,26.101,0.50793,1.56623,1.06887,0.42309,0.81059,0.57314,0.49598,0.51324,4.22545,1.13734,0.0012005,0.0012005,0.0012005
6,30.5404,0.49852,1.47571,1.06214,0.49277,0.81771,0.65448,0.57863,0.54583,2.63838,1.1603,0.00118812,0.00118812,0.00118812
7,35.2629,0.45962,1.32875,1.01374,0.74163,0.63333,0.68757,0.60282,0.53761,2.41693,1.09441,0.00117575,0.00117575,0.00117575
8,40.0917,0.4901,1.25813,1.05137,0.50881,0.66667,0.6545,0.58451,0.46943,2.45847,1.01641,0.00116337,0.00116337,0.00116337
9,45.6661,0.45394,1.15682,1.01232,0.47307,0.67618,0.66563,0.57472,0.5732,2.41372,1.12187,0.001151,0.001151,0.001151
10,50.3082,0.49413,1.19437,1.03436,0.62353,0.768,0.78731,0.68273,0.54867,2.13348,1.115,0.00113863,0.00113863,0.00113863
11,55.5327,0.43655,1.1347,1.02039,0.90436,0.67413,0.86623,0.80775,0.40378,1.63198,0.98996,0.00112625,0.00112625,0.00112625
12,59.9273,0.43837,1.0859,1.01077,0.72637,0.80371,0.90018,0.8177,0.41043,1.60955,0.98505,0.00111388,0.00111388,0.00111388
13,64.0331,0.43466,1.02164,0.9934,0.67181,0.81667,0.82978,0.75706,0.37128,1.6774,0.92607,0.0011015,0.0011015,0.0011015
14,69.1947,0.45127,1.02751,0.99575,0.77397,0.69963,0.66305,0.60683,0.40276,1.96965,0.9803,0.00108913,0.00108913,0.00108913
15,73.7806,0.41889,0.98499,0.98908,0.78553,0.7205,0.79978,0.75679,0.32839,1.60523,0.90565,0.00107675,0.00107675,0.00107675
16,78.105,0.43804,0.90675,0.99458,0.72334,0.9,0.93213,0.87647,0.34499,1.29952,0.91545,0.00106437,0.00106437,0.00106437
17,83.3615,0.44143,0.88574,0.99166,0.80176,0.88964,0.92992,0.86629,0.39015,1.37306,0.96267,0.001052,0.001052,0.001052
18,87.662,0.4321,0.87359,1.00337,0.66191,0.88928,0.96496,0.89135,0.41959,1.40699,0.99473,0.00103962,0.00103962,0.00103962
19,92.1496,0.46864,0.83761,1.03264,0.81561,0.85583,0.93382,0.88298,0.35081,1.32649,0.91511,0.00102725,0.00102725,0.00102725
20,97.2431,0.40155,0.82225,0.9842,0.86311,0.85318,0.92682,0.87972,0.33836,1.45768,0.9037,0.00101488,0.00101488,0.00101488
21,101.763,0.40833,0.7759,0.9925,0.79768,0.77897,0.84612,0.804,0.36075,1.53785,0.92403,0.0010025,0.0010025,0.0010025
22,106.674,0.40643,0.8184,0.97366,0.80612,0.86694,0.82925,0.79031,0.32183,1.57201,0.89738,0.000990125,0.000990125,0.000990125
23,112.16,0.38386,0.75794,0.96561,0.59198,0.92513,0.89253,0.85297,0.31628,1.57674,0.88408,0.00097775,0.00097775,0.00097775
24,116.052,0.34948,0.71435,0.95307,0.83337,0.69062,0.89745,0.84749,0.35114,1.61135,0.92487,0.000965375,0.000965375,0.000965375
25,120.747,0.41292,0.72489,0.99795,0.81758,0.87734,0.92694,0.89812,0.31463,1.21661,0.90638,0.000953,0.000953,0.000953
26,125.912,0.38156,0.69136,0.98184,0.83073,0.8035,0.85762,0.82433,0.31997,1.17506,0.90705,0.000940625,0.000940625,0.000940625
27,130.284,0.41509,0.66128,0.99077,0.78158,0.83826,0.93522,0.88158,0.34092,1.34572,0.90135,0.00092825,0.00092825,0.00092825
28,135.168,0.38132,0.63636,0.96883,0.87202,0.87848,0.96497,0.91154,0.33734,1.04798,0.90239,0.000915875,0.000915875,0.000915875
29,139.856,0.40961,0.65937,0.99393,0.90393,0.9072,0.96441,0.92656,0.31064,0.84688,0.88876,0.0009035,0.0009035,0.0009035
30,144.228,0.37331,0.60831,0.97126,0.86911,0.92822,0.95905,0.90258,0.34079,0.9048,0.93483,0.000891125,0.000891125,0.000891125
31,149.208,0.37059,0.60069,0.97005,0.73923,0.73573,0.87851,0.77659,0.42192,1.586,0.9584,0.00087875,0.00087875,0.00087875
32,153.875,0.364,0.56938,0.9642,0.77529,0.83852,0.93681,0.88993,0.33563,1.15414,0.91159,0.000866375,0.000866375,0.000866375
33,158.12,0.38492,0.56075,0.96966,0.79924,0.85739,0.95803,0.89987,0.36299,1.33862,0.9395,0.000854,0.000854,0.000854
34,163.208,0.39092,0.57306,0.97299,0.85703,0.93333,0.96471,0.92923,0.30241,0.78029,0.88483,0.000841625,0.000841625,0.000841625
35,167.716,0.36995,0.56647,0.949,0.89833,0.94978,0.97932,0.94608,0.29203,0.70298,0.87156,0.00082925,0.00082925,0.00082925
36,171.922,0.35551,0.49843,0.94846,0.78413,0.88043,0.93979,0.89119,0.32263,0.9228,0.89312,0.000816875,0.000816875,0.000816875
37,177.018,0.34834,0.50772,0.94339,0.89165,0.91231,0.97594,0.95923,0.2733,0.74622,0.84961,0.0008045,0.0008045,0.0008045
38,181.846,0.34425,0.48541,0.95254,0.84046,0.90613,0.96691,0.94799,0.26117,0.82443,0.84177,0.000792125,0.000792125,0.000792125
39,186.123,0.34667,0.51538,0.95723,0.77375,0.86668,0.96079,0.94817,0.2576,1.08161,0.84108,0.00077975,0.00077975,0.00077975
40,191.149,0.34668,0.57525,0.95742,0.94261,0.92919,0.98629,0.966,0.27549,0.61132,0.85836,0.000767375,0.000767375,0.000767375
41,195.78,0.33907,0.5092,0.95507,0.86484,0.89368,0.96397,0.94083,0.2807,0.77148,0.87039,0.000755,0.000755,0.000755
42,200.063,0.34894,0.48813,0.95022,0.93796,0.96112,0.9923,0.95526,0.30272,0.57204,0.87874,0.000742625,0.000742625,0.000742625
43,204.904,0.33221,0.47592,0.94612,0.92279,0.96921,0.995,0.97921,0.27879,0.55352,0.86987,0.00073025,0.00073025,0.00073025
44,209.709,0.34629,0.50303,0.96861,0.86797,0.97128,0.98343,0.95473,0.30624,0.66436,0.87126,0.000717875,0.000717875,0.000717875
45,213.725,0.33511,0.47254,0.95428,0.93153,0.96792,0.98887,0.95122,0.27636,0.57779,0.86124,0.0007055,0.0007055,0.0007055
46,218.496,0.31881,0.45013,0.9332,0.95257,0.90545,0.99406,0.97307,0.25823,0.58881,0.84639,0.000693125,0.000693125,0.000693125
47,222.889,0.33568,0.44836,0.94848,0.94099,0.89101,0.99169,0.94644,0.29943,0.6683,0.8744,0.00068075,0.00068075,0.00068075
48,227.372,0.33161,0.46854,0.95471,0.80917,0.87914,0.96628,0.93847,0.25776,0.97821,0.84479,0.000668375,0.000668375,0.000668375
49,232.637,0.35484,0.46421,0.96542,0.86539,0.81393,0.9541,0.92856,0.2821,0.91533,0.86309,0.000656,0.000656,0.000656
50,237.278,0.32884,0.43771,0.94777,0.88105,0.84651,0.95777,0.92113,0.30197,0.70292,0.88201,0.000643625,0.000643625,0.000643625
51,241.058,0.34289,0.44042,0.94139,0.85608,0.87479,0.96136,0.93014,0.26952,0.71514,0.85437,0.00063125,0.00063125,0.00063125
52,246.078,0.34522,0.44886,0.96037,0.84788,0.92319,0.95622,0.91642,0.29208,0.68017,0.87209,0.000618875,0.000618875,0.000618875
53,250.654,0.32054,0.42362,0.94756,0.89428,0.9375,0.97292,0.93547,0.28502,0.65471,0.87201,0.0006065,0.0006065,0.0006065
54,254.815,0.31992,0.41713,0.93895,0.91205,0.87554,0.96749,0.9363,0.27138,0.60559,0.85625,0.000594125,0.000594125,0.000594125
55,259.907,0.32142,0.43565,0.94589,0.93578,0.90208,0.97668,0.95855,0.25909,0.51563,0.84204,0.00058175,0.00058175,0.00058175
56,264.643,0.31003,0.37791,0.92264,0.95656,0.9475,0.9868,0.96816,0.26804,0.46395,0.84996,0.000569375,0.000569375,0.000569375
57,268.988,0.30348,0.38828,0.92249,0.95293,0.86508,0.97708,0.96127,0.26818,0.52298,0.84733,0.000557,0.000557,0.000557
58,274.249,0.33147,0.41553,0.93907,0.84048,0.89335,0.9573,0.94352,0.25369,0.67854,0.83436,0.000544625,0.000544625,0.000544625
59,278.824,0.33566,0.39404,0.9337,0.85749,0.91182,0.9859,0.97184,0.24608,0.57025,0.83674,0.00053225,0.00053225,0.00053225
60,283.289,0.29172,0.37821,0.93525,0.95393,0.89908,0.98678,0.96501,0.28149,0.49285,0.85799,0.000519875,0.000519875,0.000519875
