epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28306,0.73743,3.14381,1.31386,0.0035,1,0.34137,0.24708,0.43753,3.56302,1.04229,0.000384615,0.000384615,0.000384615
2,13.8229,0.56371,2.23735,1.14152,0.81199,0.21918,0.38621,0.3157,0.49972,3.12839,1.1145,0.000769551,0.000769551,0.000769551
3,18.1668,0.51448,1.86832,1.10122,0.56706,0.38542,0.47463,0.41874,0.50783,2.96492,1.08998,0.00112149,0.00112149,0.00112149
4,22.398,0.53352,1.76738,1.08166,0.36206,0.83574,0.48053,0.42099,0.51703,5.33138,1.22798,0.0011015,0.0011015,0.0011015
5,27.3639,0.4895,1.52276,1.05598,0.40723,0.86794,0.49608,0.42591,0.5883,3.81024,1.24453,0.001052,0.001052,0.001052
6,32.6098,0.4844,1.47769,1.04421,0.63515,0.58437,0.50473,0.36411,0.72754,2.97854,1.284,0.0010025,0.0010025,0.0010025
7,37.108,0.46225,1.41353,1.01852,0.62812,0.61316,0.67302,0.59401,0.49321,2.55086,1.03851,0.000953,0.000953,0.000953
8,42.0113,0.47948,1.31819,1.03659,0.55473,0.81956,0.74201,0.67323,0.47388,2.19598,1.02519,0.0009035,0.0009035,0.0009035
9,46.4143,0.42776,1.12387,1.00702,0.58687,0.74591,0.74119,0.68355,0.41126,1.96806,0.97549,0.000854,0.000854,0.000854
10,50.6318,0.46769,1.14689,1.02058,0.5937,0.73438,0.73791,0.69076,0.37022,2.04142,0.94823,0.0008045,0.0008045,0.0008045
11,55.6707,0.40603,1.11597,1.00159,0.70697,0.81274,0.82522,0.77348,0.36757,1.86654,0.93907,0.000755,0.000755,0.000755
12,59.9307,0.41666,1.09672,0.99008,0.52987,0.87076,0.75833,0.71531,0.39367,1.74268,0.94936,0.0007055,0.0007055,0.0007055
13,64.2189,0.38281,1.03252,0.96462,0.63033,0.94277,0.78715,0.71587,0.42187,1.62569,0.97041,0.000656,0.000656,0.000656
14,69.3958,0.40441,1.0416,0.97394,0.69488,0.89376,0.83519,0.78426,0.37065,1.83426,0.92519,0.0006065,0.0006065,0.0006065
15,74.0169,0.37057,0.94851,0.9691,0.68995,0.83064,0.88364,0.84544,0.30739,1.52427,0.881,0.000557,0.000557,0.000557
16,81.8454,0.31296,1.43694,0.91603,0.64573,0.86667,0.86124,0.7912,0.41306,2.1312,0.96666,0.0005075,0.0005075,0.0005075
17,86.4823,0.298,1.41442,0.93158,0.86763,0.72866,0.83858,0.80258,0.3277,1.51132,0.89769,0.000458,0.000458,0.000458
18,90.6209,0.26969,1.12766,0.87761,0.74525,0.78646,0.80992,0.7665,0.35215,1.54168,0.93161,0.0004085,0.0004085,0.0004085
19,95.4432,0.26874,1.1104,0.89925,0.60754,0.83696,0.81355,0.78408,0.30455,1.7019,0.88359,0.000359,0.000359,0.000359
20,99.6417,0.26073,1.09343,0.89138,0.67325,0.92211,0.83184,0.80468,0.28756,1.73084,0.87061,0.0003095,0.0003095,0.0003095
21,103.577,0.25179,1.07195,0.87498,0.76879,0.85002,0.8598,0.83447,0.27671,1.59364,0.85873,0.00026,0.00026,0.00026
22,108.35,0.25162,1.04207,0.85333,0.80826,0.89835,0.91983,0.90964,0.23393,1.26994,0.82728,0.0002105,0.0002105,0.0002105
23,112.891,0.2378,0.94919,0.86074,0.93166,0.96387,0.99209,0.97398,0.2541,1.0125,0.8352,0.000161,0.000161,0.000161
24,116.638,0.2253,0.90895,0.88581,0.88718,0.97749,0.99318,0.97581,0.25354,0.99777,0.83604,0.0001115,0.0001115,0.0001115
25,121.234,0.23378,0.95188,0.87186,0.90848,0.93702,0.99021,0.97257,0.2514,1.01641,0.83255,6.2e-05,6.2e-05,6.2e-05
